STN,YYYYMMDD,DDVEC,FHVEC,   FG,  FHX, FHXH,  FHN, FHNH,  FXX, FXXH,   TG,   TN,  TNH,   TX,  TXH, T10N,T10NH,   SQ,   SP,    Q,   DR,   RH,  RHX, RHXH,   PG,   PX,  PXH,   PN,  PNH,  VVN, VVNH,  VVX, VVXH,   NG,   UG,   UX,  UXH,   UN,  UNH, EV24
  370,20220216,  222,   94,   97,  130,   20,   70,    1,  220,   20,  113,   84,    1,  137,   23,   82,    6,    0,    0,  198,  133,   80,   12,   19, 9968,10031,    1, 9930,   20,   24,   10,   75,   23,    8,   90,   97,   10,   76,   15,    3
  370,20220217,  256,   87,   90,  130,    2,   40,   18,  230,    2,   94,   53,   19,  125,    2,   36,   24,   64,   63,  721,   12,   19,   13,    1,10060,10117,   23, 9942,    1,   58,    2,   81,   17,    6,   65,   87,   23,   52,   11,   10
  370,20220218,  226,   93,  102,  180,   16,   40,    4,  320,   16,   89,   59,   24,  125,   11,   54,   24,   14,   14,  209,   35,   37,   27,   13,10001,10108,    1, 9918,   16,   49,   13,   80,   22,    7,   71,   92,    8,   48,   22,    3
  370,20220219,  229,   84,   90,  110,    1,   70,    8,  200,   19,   61,   33,    8,   92,   14,   29,   12,   52,   51,  666,   53,  107,   33,   22,10105,10148,   11,10053,   21,   50,   20,   81,   12,    7,   69,   90,   20,   52,   12,    9
  370,20220220,  226,   87,   94,  140,   21,   40,    3,  240,   22,   80,   25,    4,  107,   20,   17,    6,    0,    0,  145,  153,  186,   51,   22,10043,10122,    2, 9935,   21,   14,   22,   75,    1,    8,   88,   93,    6,   78,    1,    2
  370,20220221,  260,   73,   83,  120,    9,   40,   23,  200,   10,   62,   39,    6,   82,   15,   33,    6,   23,   22,  302,   52,   63,   16,   11,10044,10178,   24, 9978,   13,   50,   12,   75,    2,    7,   75,   88,   12,   65,    3,    4
  370,20220222,  230,   49,   53,   90,   14,   30,    2,  160,   19,   65,   17,    6,  108,   16,    9,    6,    6,    6,  352,   41,   37,   12,   17,10180,10227,   24,10138,   16,   50,   16,   70,   23,    6,   88,   94,    5,   80,   10,    5
  370,20220223,  211,   46,   47,   70,   12,   30,    1,  110,   13,   72,    6,    6,  122,   13,  -17,    6,   91,   87, 1100,    0,    0,    0,    1,10229,10264,    9,10172,   24,   57,    7,   83,   18,    4,   73,   95,    7,   51,   14,   15
  370,20220224,  220,   56,   63,  110,   13,   40,    3,  190,   12,   60,    9,   23,  119,   13,    5,   24,   37,   35,  678,   32,   52,   19,   14,10119,10170,   24,10054,   13,   59,   20,   83,   13,    6,   77,   93,   21,   59,   12,    9
  370,20220225,  253,   43,   52,   80,    7,   10,   21,  150,   12,   37,  -15,   23,   90,   13,  -30,   24,   63,   59,  848,    8,   14,   11,   16,10238,10323,   24,10176,    4,   10,   24,   75,   17,    3,   82,   97,   23,   63,   12,   10
